utterance,intent,source_row
"""Yes please. Book it for me.""",confirmation,221
Does it include breakfast?,ask_info,822
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $107 per night.""",provide_location,554
"""Hi I'm planning a"" trip to London and need a hotel.""",greeting,174
Yes my name is {name}. My email is {email} and my phone number is {phone number}.,confirmation,98
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,674
Looking for a place to stay in Central Station Rome. Any suggestions?,provide_location,1088
I need to make a hotel reservation.,confirmation,72
""" What are the latest trends in AI research?",ask_info,31
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,706
Looking for a place to stay in Bonfim Porto. Any suggestions?,provide_location,899
"""Yes please. Book it for me.""",confirmation,586
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,666
"""Yes please. Book it for me.""",confirmation,695
Does it include breakfast?,ask_info,428
"""Yes please. Book it for me.""",confirmation,305
Looking for a place to stay in Gare Luxembourg. Any suggestions?,provide_location,874
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1152
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,435
Looking for a place to stay in 10th arr. Paris. Any suggestions?,provide_location,954
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $126 per night.""",provide_location,794
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,338
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,733
"""Hi I'm planning a"" trip to London and need a hotel. """,greeting,82
Does it include breakfast?,ask_info,80
Looking for a place to stay in Heraklio. Any suggestions?,provide_location,1069
This is a great choice!,confirmation,19
Looking for a place to stay in City of London London. Any suggestions?,ask_info,846
"""Yes please. Book it for me.""",confirmation,253
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,519
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 91 per night.""",provide_location,419
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,886
"I'd like something in St. Georg Hamburg with a good rating. Budget is around $100 per night.""",confirmation,744
Does it include breakfast?,ask_info,475
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,635
"""Hi I'm planning a"" trip to Heraklio and need a hotel.""",greeting,772
""" What are effective strategies for time management?",ask_info,35
Looking for a place to stay in Heralkio City Centre Heraklio. Any suggestions?,provide_location,1065
I want to visit [City Name].,confirmation,1181
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1174
Looking for a place to stay in Gare Luxembourg. Any suggestions?,provide_location,870
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1163
Looking for a place to stay in Frankfurt City Center (Old Town) Frankfurt. Any suggestions?,provide_location,1025
"I'd like something in Altstadt - Lehel Munich with a good rating. Budget is around $225 per night.""",provide_location,591
I will visit from [Check in Date] until [Check out Date].,confirmation,12
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,639
"I'd like something in Vaticano Prati Rome with a good rating. Budget is around $150 per night.""",provide_location,801
Does it include breakfast?,ask_info,88
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,497
Yes my name is {name}. My email is {email} and my phone number is {phone number}.,confirmation,20
"I'd like something in Paranhos Porto with a good rating. Budget is around â¬Â 50 per night.""",provide_location,407
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,314
"""Hi I'm planning a"" trip to Rome and need a hotel.""",greeting,810
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,439
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $113 per night.""",confirmation,574
Does it include breakfast?,ask_info,348
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,741
"I'd like something in Central Station Rome with a good rating. Budget is around $150 per night.""",confirmation,813
"""Yes please. Book it for me.""",confirmation,472
Looking for a place to stay in Sant MartÃ­ Barcelona. Any suggestions?,provide_location,932
"I'd like something in Bahnhofsviertel Frankfurt with a good rating. Budget is around $109 per night.""",provide_location,689
Looking for a place to stay in Hamburg City Center (New Town) Hamburg. Any suggestions?,provide_location,1042
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $119 per night.""",provide_location,588
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,346
Looking for a place to stay in Mitte Berlin. Any suggestions?,provide_location,992
Looking for a place to stay in 6th arr. Paris. Any suggestions?,provide_location,948
Looking for a place to stay in Luxembourg. Any suggestions?,provide_location,876
Looking for a place to stay in Maxvorstadt Munich. Any suggestions?,provide_location,974
"""Yes please. Book it for me.""",confirmation,417
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,523
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,507
"""Yes please. Book it for me.""",confirmation,807
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,645
Looking for a place to stay in Santa Croce Venice. Any suggestions?,provide_location,1167
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,963
Good day I need to book accommodation.,greeting,61
Looking for a place to stay in Ciutat Vella Barcelona. Any suggestions?,provide_location,919
Does it include breakfast?,ask_info,236
Does it include breakfast?,ask_info,356
Does it include breakfast?,ask_info,152
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,553
Looking for a place to stay in Westminster Borough London. Any suggestions?,ask_info,833
""" What are the top programming languages to learn in 2024?",ask_info,37
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,608
Looking for a place to stay in Bonfim Porto. Any suggestions?,provide_location,896
"I'd like something in Altona-Altstadt Hamburg with a good rating. Budget is around $82 per night.""",provide_location,711
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1120
Looking for a place to stay in Altstadt - Lehel Munich. Any suggestions?,provide_location,960
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,489
"I'd like something in Belair Luxembourg with a good rating. Budget is around â¬Â 85 per night.""",confirmation,263
"I'd like something in Hammersmith and Fulham London with a good rating. Budget is around ‰âÂåÊ52 per night.""",confirmation,87
Looking for a place to stay in Heralkio City Centre Heraklio. Any suggestions?,provide_location,1066
Looking for a place to stay in Pantheon Rome. Any suggestions?,provide_location,1134
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,234
I will visit from [Check in Date] until [Check out Date].,confirmation,64
"I'd like something in Mitte Berlin with a good rating. Budget is around $109 per night.""",confirmation,642
Looking for a place to stay in Rome City Center Rome. Any suggestions?,provide_location,1149
"""Hi I'm planning a"" trip to Rome and need a hotel.""",greeting,818
Does it include breakfast?,ask_info,156
"I'd like something in Rione Monti Rome with a good rating. Budget is around $392 per night.""",confirmation,800
Looking for a place to stay in Hamburg City Center (New Town) Hamburg. Any suggestions?,provide_location,1040
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,631
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 24 per night.""",provide_location,335
"I'd like something in Eixample Barcelona with a good rating. Budget is around â¬Â 180 per night.""",provide_location,442
"I'd like something in Frankfurt City Center (Old Town) Frankfurt with a good rating. Budget is around $108 per night.""",provide_location,659
"I'd like something in Sant MartÃ­ Barcelona with a good rating. Budget is around â¬Â 159 per night.""",provide_location,474
I will visit from [Check in Date] until [Check out Date].,confirmation,70
"""Yes please. Book it for me.""",confirmation,229
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $223 per night.""",provide_location,767
"""Yes please. Book it for me.""",confirmation,369
"I'd like something in Maxvorstadt Munich with a good rating. Budget is around $125 per night.""",confirmation,589
"""Hi I'm planning a"" trip to London and need a hotel. """,greeting,96
I will visit from [Check in Date] until [Check out Date].,confirmation,1194
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1173
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,501
Looking for a place to stay in Rione Monti Rome. Any suggestions?,provide_location,1138
"I'd like something in Sachsenhausen Frankfurt with a good rating. Budget is around $149 per night.""",provide_location,693
Does it include breakfast?,ask_info,376
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,394
Looking for a place to stay in Pantheon Rome. Any suggestions?,provide_location,1090
Looking for a place to stay in Castello Venice. Any suggestions?,provide_location,1161
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,445
Does it include breakfast?,ask_info,487
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,980
"""Yes please. Book it for me.""",confirmation,823
"I'd like something in Hammerbrook Hamburg with a good rating. Budget is around $75 per night.""",confirmation,713
"I'd like something in Ciutat Vella Barcelona with a good rating. Budget is around â¬Â 214 per night.""",provide_location,454
Looking for a place to stay in Castello Venice. Any suggestions?,provide_location,1153
"""Hi I'm planning a"" trip to Heraklio and need a hotel.""",greeting,770
"""Hi I'm planning a"" trip to Heraklio and need a hotel.""",greeting,774
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $78 per night.""",provide_location,773
Looking for a place to stay in Luxembourg. Any suggestions?,provide_location,865
Looking for a place to stay in Central Station Rome. Any suggestions?,provide_location,1145
"""Yes please. Book it for me.""",confirmation,21
"I'd like something in Westminster Borough London with a good rating. Budget is around ‰âÂåÊ82 per night.""",provide_location,139
"I'd like something in Friedrichshain-Kreuzberg Berlin with a good rating. Budget is around $87 per night.""",provide_location,644
Looking for a place to stay in Lambeth London. Any suggestions?,ask_info,837
Does it include breakfast?,ask_info,288
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,604
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1119
"I'd like something in Sants-MontjuÃ¯c Barcelona with a good rating. Budget is around â¬Â 194 per night.""",confirmation,427
Looking for a place to stay in 17th arr. Paris. Any suggestions?,provide_location,945
Does it include breakfast?,ask_info,515
Yes my name is [Name]. You can reach me at [Email] and [Phone Number].,confirmation,108
"""Yes please. Book it for me.""",confirmation,95
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,557
Looking for a place to stay in Gutleutviertel Frankfurt. Any suggestions?,provide_location,1023
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,262
"I'd like something in 6th arr. Paris with a good rating. Budget is around $229 per night.""",provide_location,524
"I'd like something in Gutleutviertel Frankfurt with a good rating. Budget is around $84 per night.""",provide_location,679
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,190
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,505
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,242
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,286
"I'd like something in Hohenfelde Hamburg with a good rating. Budget is around $62 per night.""",provide_location,749
Does it include breakfast?,ask_info,828
Does it include breakfast?,ask_info,84
"""Yes please. Book it for me.""",confirmation,233
I will visit from [Check in Date] until [Check out Date].,confirmation,1189
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,900
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,907
Does it include breakfast?,ask_info,212
Looking for a place to stay in 2nd arr. Paris. Any suggestions?,provide_location,939
"I'd like something in Bonfim Porto with a good rating. Budget is around â¬Â 27 per night.""",provide_location,371
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,643
"""Yes please. Book it for me.""",confirmation,578
"""Yes please. Book it for me.""",confirmation,829
Looking for a place to stay in Eixample Barcelona. Any suggestions?,provide_location,914
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,426
"""Yes please. Book it for me.""",confirmation,241
"""Yes please. Book it for me.""",confirmation,413
Looking for a place to stay in Hamburg. Any suggestions?,ask_info,1038
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $106 per night. """,provide_location,787
"I'd like something in Luxembourg with a good rating. Budget is around â¬Â 129 per night.""",confirmation,247
I need to make a hotel reservation.,confirmation,13
"""Yes please. Book it for me.""",confirmation,173
Looking for a place to stay in Santa Croce Venice. Any suggestions?,provide_location,1128
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 26 per night.""",provide_location,343
"I'd like something in Luxembourg with a good rating. Budget is around ‰âÂåÊ180 per night.""",confirmation,191
Does it include breakfast?,ask_info,320
Looking for a place to stay in 15th arr. Paris. Any suggestions?,provide_location,950
"""Yes please. Book it for me.""",confirmation,345
"I'd like something in Bonfim Porto with a good rating. Budget is around â¬Â 50 per night.""",provide_location,387
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,972
""" I need a healthy recipe for dinner.",confirmation,22
"I'd like something in Friedrichshain-Kreuzberg Berlin with a good rating. Budget is around $119 per night.""",provide_location,617
Looking for a place to stay in Frankfurt Airport Area Frankfurt. Any suggestions?,provide_location,1031
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,664
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,978
"""Hi I'm planning a"" trip to London and need a hotel. """,greeting,112
This is a great choice!,confirmation,805
"I'd like something in GrÃ cia Barcelona with a good rating. Budget is around â¬Â 88 per night.""",provide_location,446
How can I improve my data analysis skills?,ask_info,47
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1129
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,893
"I'd like something in Bahnhofsviertel Frankfurt with a good rating. Budget is around $105 per night.""",provide_location,669
Looking for a place to stay in Heralkio City Centre Heraklio. Any suggestions?,provide_location,1076
"What are the latest trends in AI research? ""Current trends in AI research include explainable AI (XAI) reinforcement learning federated learning for data privacy and AI for healthcare and drug discovery."" "" What are the latest trends in AI research?",confirmation,55
"""Yes please. Book it for me.""",confirmation,353
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,901
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,884
"""Yes please. Book it for me.""",confirmation,289
Does it include breakfast?,ask_info,723
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,473
"I'd like something in Westminster Borough London with a good rating. Budget is around ‰âÂåÊ63 per night.""",confirmation,155
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $39 per night.""",provide_location,775
Looking for a place to stay in SarriÃ -St. Gervasi Barcelona. Any suggestions?,provide_location,908
Does it include breakfast?,ask_info,832
Does it include breakfast?,ask_info,694
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $65 per night.""",provide_location,780
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,358
"I'd like something in Eixample Barcelona with a good rating. Budget is around â¬Â 167 per night.""",provide_location,482
Does it include breakfast?,ask_info,585
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,533
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,641
"I'd like something in Frankfurt City Center (Old Town) Frankfurt with a good rating. Budget is around $212 per night.""",provide_location,683
I want to visit [City Name].,confirmation,10
"""Yes please. Book it for me.""",confirmation,405
"""Yes please. Book it for me.""",confirmation,309
"""Yes please. Book it for me.""",confirmation,450
"""Yes please. Book it for me.""",confirmation,333
"""Yes please. Book it for me.""",confirmation,249
Looking for a place to stay in Vaticano Prati Rome. Any suggestions?,provide_location,1142
"I'd like something in Camden London with a good rating. Budget is around ‰âÂåÊ37 per night. """,provide_location,123
"I'd like something in Westminster Borough London with a good rating. Budget is around ‰âÂåÊ80 per night.""",confirmation,171
Looking for a place to stay in Luxembourg. Any suggestions?,provide_location,880
Looking for a place to stay in 17th arr. Paris. Any suggestions?,provide_location,935
"""Yes please. Book it for me.""",confirmation,365
Looking for a place to stay in Vaticano Prati Rome. Any suggestions?,provide_location,1084
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,724
"I'd like something in 15th arr. Paris with a good rating. Budget is around $180 per night.""",provide_location,526
Looking for a place to stay in Westminster Borough London. Any suggestions?,ask_info,842
Does it include breakfast?,ask_info,220
Looking for a place to stay in 13th arr. Paris. Any suggestions?,provide_location,946
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $109 per night.""",provide_location,785
Looking for a place to stay in Mitte Berlin. Any suggestions?,provide_location,991
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,447
"I'd like something in Maxvorstadt Munich with a good rating. Budget is around $73 per night.""",confirmation,580
"I'd like something in Ciutat Vella Barcelona with a good rating. Budget is around â¬Â 120 per night.""",provide_location,458
I want to visit [City Name].,confirmation,1185
Looking for a place to stay in Rione Monti Rome. Any suggestions?,provide_location,1143
Does it include breakfast?,ask_info,412
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $70 per night.""",provide_location,793
"""Hi I'm planning a"" trip to London and need a hotel.""",greeting,170
Looking for a place to stay in Hammerbrook Hamburg. Any suggestions?,provide_location,1035
"""Yes please. Book it for me.""",confirmation,205
Looking for a place to stay in Luxembourg. Any suggestions?,provide_location,859
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 75 per night.""",provide_location,383
"I'd like something in Westminster Borough London with a good rating. Budget is around â¬Â 111 per night.""",provide_location,215
"I'd like something in 10th arr. Paris with a good rating. Budget is around $132 per night.""",provide_location,538
Does it include breakfast?,ask_info,280
Looking for a place to stay in Navona Rome. Any suggestions?,provide_location,1100
Looking for a place to stay in St. Georg Hamburg. Any suggestions?,provide_location,1056
"""Yes please. Book it for me.""",confirmation,476
"I'd like something in Maxvorstadt Munich with a good rating. Budget is around $130 per night.""",confirmation,583
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $107 per night.""",provide_location,592
Looking for a place to stay in Heraklio. Any suggestions?,provide_location,1074
Looking for a place to stay in Heralkio City Centre Heraklio. Any suggestions?,provide_location,1073
Looking for a place to stay in Hamburg City Center (Old Town) Hamburg. Any suggestions?,provide_location,1033
I'd like to book a hotel room.,book_hotel,3
"""I'd like something in Gare "" Luxembourg with a good rating. Budget is around â¬Â 133 per night.",confirmation,283
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,306
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,354
I want to visit [City Name].,confirmation,69
"I'd like something in Eixample Barcelona with a good rating. Budget is around â¬Â 131 per night.""",provide_location,468
Yes my name is {name}. My email is {email} and my phone number is {phone number}.,confirmation,94
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,543
I will visit from [Check in Date] until [Check out Date].,confirmation,76
Looking for a place to stay in Aventino Rome. Any suggestions?,provide_location,1104
Does it include breakfast?,ask_info,336
"I'd like something in Bonnevoie Luxembourg with a good rating. Budget is around â¬Â 215 per night.""",provide_location,299
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,633
Yes my name is {name}. My email is {email} and my phone number is {phone number}.,confirmation,806
"I'd like something in 9th arr. Paris with a good rating. Budget is around $125 per night.""",provide_location,504
"""Yes please. Book it for me.""",confirmation,746
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,290
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,897
"""Hi I'm planning a"" trip to Rome and need a hotel.""",greeting,816
I will visit from [Check in Date] until [Check out Date].,confirmation,66
"""Yes please. Book it for me.""",confirmation,393
Looking for a place to stay in Santa Croce Venice. Any suggestions?,provide_location,1114
Looking for a place to stay in Rione Monti Rome. Any suggestions?,provide_location,1099
"I'd like something in 17th arr. Paris with a good rating. Budget is around $123 per night.""",provide_location,518
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 52 per night.""",provide_location,415
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,302
"I'd like something in Mitte Berlin with a good rating. Budget is around $104 per night.""",confirmation,636
Looking for a place to stay in Frankfurt City Center (Old Town) Frankfurt. Any suggestions?,provide_location,1009
I will visit from [Check in Date] until [Check out Date].,confirmation,9
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,503
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,362
I will visit from [Check in Date] until [Check out Date].,confirmation,1193
"""Yes please. Book it for me.""",confirmation,620
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1169
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,965
"""Hi I'm planning a"" trip to Rome and need a hotel.""",greeting,830
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,398
"I'd like something in Friedrichshain-Kreuzberg Berlin with a good rating. Budget is around $72 per night.""",provide_location,598
Looking for a place to stay in 2nd arr. Paris. Any suggestions?,provide_location,943
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,465
Looking for a place to stay in Friedrichshain-Kreuzberg Berlin. Any suggestions?,provide_location,1000
"""Hi I'm planning a"" trip to London and need a hotel. """,greeting,210
Looking for a place to stay in 10th arr. Paris. Any suggestions?,provide_location,934
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,535
"I'd like something in Hamburg City Center (Old Town) Hamburg with a good rating. Budget is around $167 per night.""",provide_location,722
Looking for a place to stay in Eixample Barcelona. Any suggestions?,provide_location,911
"I'd like something in Trevi Rome with a good rating. Budget is around $245 per night.""",confirmation,811
"""I'd like something in Gare "" Luxembourg with a good rating. Budget is around â¬Â 148 per night.""",confirmation,235
Looking for a place to stay in Eixample Barcelona. Any suggestions?,provide_location,931
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,885
"I'd like something in Heraklio with a good rating. Budget is around $76 per night.""",confirmation,777
Looking for a place to stay in Heraklio. Any suggestions?,provide_location,1082
"I'd like something in Mitte Berlin with a good rating. Budget is around $92 per night.""",confirmation,616
Yes my name is [Name]. You can reach me at [Email] and [Phone Number].,confirmation,117
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1164
"I'd like something in Mitte Berlin with a good rating. Budget is around $84 per night.""",confirmation,596
Looking for a place to stay in Frankfurt City Center (Old Town) Frankfurt. Any suggestions?,provide_location,1032
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,716
